id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
12996166,1,71627285,Kimberly,,De Pijp - Rivierenbuurt,52.34108,4.89531,Private room,35,5,1,2016-05-13,0.02,1,0,Oud-Oost,205725069,Floor,,52.35769,4.91017,Entire home/apt,150,2,10,2020-02-16,0.38,1,70
43705764,0,3241444,Thijs,,Westerpark,52.38443,4.88108,Entire home/apt,100,1,12,2020-09-06,1.97,1,0,Centrum-Oost,178187873,Marcel And Pauline,,52.36422,4.88108,Entire home/apt,72,1,14,2020-10-04,1.57,25,0
14985425,0,94446255,Anne,,De Baarsjes - Oud-West,52.3638,4.87611,Entire home/apt,170,2,22,2019-06-02,0.43,1,0,Westerpark,719415,Sarah,,52.37678,4.87611,Entire home/apt,150,2,8,2018-08-06,0.13,1,0
13384048,1,1528466,Allysa,,Bos en Lommer,52.37763,4.84778,Entire home/apt,80,2,3,2016-11-12,0.06,1,0,Centrum-Oost,68671201,Thomas,,52.37016,4.91281,Entire home/apt,115,3,5,2016-08-08,0.09,1,0
25330294,0,9282300,Anja,,Centrum-Oost,52.3643,4.88867,Entire home/apt,152,7,0,,,9,360,Centrum-Oost,9282300,Anja,,52.3643,4.88867,Entire home/apt,172,7,0,,,9,364
1766570,0,9282300,Anja,,Centrum-Oost,,4.88867,Entire home/apt,264,7,2,2019-11-16,0.13,9,365,Centrum-Oost,9282300,Anja,,,4.88867,Entire home/apt,202,7,0,,,9,364
6828314,0,3618413,Ivana,,Zuid,52.34971,4.86085,Entire home/apt,135,3,18,2016-12-04,0.27,1,0,Zuid,35486034,Elvira,,52.35087,4.86085,Entire home/apt,200,3,1,2019-11-26,0.08,1,0
40700663,1,60974467,Stijn,,De Pijp - Rivierenbuurt,52.35216,4.89717,Entire home/apt,200,5,1,2020-01-02,0.09,1,0,Buitenveldert - Zuidas,145367114,Rogier,,52.34281,4.86405,Entire home/apt,407,4,3,2020-01-08,0.26,1,0
17580267,0,96611863,Henk,,Oud-Noord,52.39127,4.93629,Entire home/apt,198,4,13,2019-08-05,0.3,1,0,Oostelijk Havengebied - Indische Buurt,80872673,Agnes,,52.36635,4.93629,Entire home/apt,80,4,8,2019-06-02,0.17,1,0
18269139,0,28802597,Julia,,Noord-West,52.40678,4.89781,Entire home/apt,65,3,6,2017-11-07,0.14,1,0,De Pijp - Rivierenbuurt,17610480,Nathalie,,52.35741,4.89781,Entire home/apt,90,3,21,2018-01-21,0.27,1,0
4635416,0,24002310,Hans,,Centrum-Oost,52.36425,4.89931,Private room,30,2,184,2020-09-28,2.52,4,0,De Pijp - Rivierenbuurt,113419316,Maxime,,52.34668,4.89931,Entire home/apt,250,2,40,2019-08-04,0.89,1,0
9037305,1,14233984,Sandra,,De Baarsjes - Oud-West,52.36073,4.86894,Entire home/apt,167,3,37,2020-02-13,0.68,1,0,De Baarsjes - Oud-West,10434311,Annemiek,,52.36083,4.85204,Private room,89,1,17,2019-04-21,0.23,1,0
1925716,0,3039658,Mascha,,De Baarsjes - Oud-West,52.36772,4.87449,Entire home/apt,200,3,1,2020-01-02,0.09,1,0,Centrum-West,53825121,Julia,,52.37232,4.87449,Entire home/apt,550,3,0,,,1,0
19804552,0,17382916,Benjamin,,De Baarsjes - Oud-West,52.36347,4.85398,Entire home/apt,100,2,5,2018-02-26,0.12,1,0,De Baarsjes - Oud-West,242556464,Jan,,52.35955,4.85398,Entire home/apt,199,2,6,2019-06-24,0.29,1,0
18751928,1,19679518,Els,,Oostelijk Havengebied - Indische Buurt,52.3666,4.93334,Entire home/apt,65,2,5,2017-06-25,0.12,1,0,Oud-Oost,59301617,Thijs,,52.35801,4.91634,Entire home/apt,160,3,3,2017-09-17,0.08,1,0
27261394,1,205342239,Michel,,De Baarsjes - Oud-West,52.36172,4.85837,Entire home/apt,200,2,0,,,1,0,Westerpark,213709369,Annie,,52.38456,4.87679,Entire home/apt,70,1,0,,,1,0
19107956,0,20465004,Joost,,De Pijp - Rivierenbuurt,52.35195,4.89181,Entire home/apt,130,2,6,2017-09-02,0.15,1,0,De Pijp - Rivierenbuurt,11045593,Elizabeth,,52.35636,4.89181,Private room,50,2,7,2019-01-20,0.27,1,0
12865293,0,67005410,Feliciano,,Centrum-West,,4.89926,Private room,103,1,157,2020-08-09,2.81,16,365,Centrum-West,67005410,Feliciano,,,4.89926,Private room,153,1,79,2020-03-07,1.4,16,365
11360453,1,50812706,Arjan,,Zuid,52.35207,4.84802,Private room,50,3,73,2019-08-26,1.25,3,0,Zuid,50812706,Arjan,,52.35193,4.84782,Private room,50,2,18,2018-10-29,0.33,3,0
