MATCH_SCORE,ID_1,NAME_1,HOSTNAME_1,NEIGHB_1,LATITUDE_1,LONGITUDE_1,ROOM_TYPE_1,ID_2,NAME_2,HOSTNAME_2,NEIGHB_2,LATITUDE_2,LONGITUDE_2,ROOM_TYPE_2
100,946986,Apartment Trastevere,Manuela,XII Monte Verde,4187894,1246725,Entire home/apt,4610124,Apartment Trastevere,Manuela,XII Monte Verde,418806,1246775,Entire home/apt
100,930540,Locanda Al Viminale,Riccardo,I Centro Storico,4189922,1249415,Entire home/apt,11898911,locanda al viminale,Riccardo,I Centro Storico,4189958,1249415,Entire home/apt
100,1164706,Le rose B&B camera matrimoniale,Anna,II Parioli/Nomentano,4192725,1251374,Private room,14438363,Le rose B&B camera matrimoniale,Anna,II Parioli/Nomentano,419261,125135,Private room
100,1187009,"Domus Appia Antica, 2 bedrooms and terrace",Enrico,VII San Giovanni/Cinecittà,4183481,1259606,Entire home/apt,21847426,"Domus Appia Antica, 2 bedrooms and terrace",Enrico,VII San Giovanni/Cinecittà,4183354,1259602,Entire home/apt
100,831224,Loft in Rome,Andrea,VI Roma delle Torri,4187328,1259528,Entire home/apt,28206657,Loft in Rome,Andrea,I Centro Storico,41895,1250042,Entire home/apt
100,1077984,Splendid Modern in Trastevere,Marco,I Centro Storico,4188815,1247064,Entire home/apt,106,Splendid Modern in Trastevere,Marco,I Centro Storico,4188815,1247064,Entire home/apt
100,1078201,B & B Room at St. John Lateran,Fatinha,VII San Giovanni/Cinecittà,4188023,1250686,Private room,107,B & B Room at St. John Lateran,Fatinha,VII San Giovanni/Cinecittà,4188023,1250686,Private room
100,1078734,The Palatine Garden Apartment,Maurizio,I Centro Storico,418913,1248315,Entire home/apt,108,The Palatine Garden Apartment,Maurizio,I Centro Storico,418913,1248315,Entire home/apt
100,1075281,Villa&giardino Appia Antica -FreeParkingArea,Anna,VIII Appia Antica,4183656,1254703,Entire home/apt,105,Villa&giardino Appia Antica -FreeParkingArea,Anna,VIII Appia Antica,4183656,1254703,Entire home/apt
98,553345,Coloured room in San Giovanni!,Anna Rita,VII San Giovanni/Cinecittà,4187178,1252855,Private room,581753,Coloured room near San Giovanni!,Anna Rita,VII San Giovanni/Cinecittà,4187239,1252815,Private room
98,797304,APARTMENT TRASTEVERE 8 people,Manuela,XII Monte Verde,4187931,124675,Entire home/apt,710876,Apartment at Trastevere Nievo 8people,Manuela,XII Monte Verde,4188056,1246623,Entire home/apt
98,946986,Apartment Trastevere,Manuela,XII Monte Verde,4187894,1246725,Entire home/apt,703644,Apartment Trastevere 3,Manuela,XII Monte Verde,4187964,1246622,Entire home/apt
98,856744,Campo dè Fiori  - Romantic Terrace,Rent In Rome,I Centro Storico,4189504,1247462,Entire home/apt,561122,Campo dè Fiori Terrace,Rent In Rome,I Centro Storico,4189396,1247498,Entire home/apt
98,783263,GUEST HOUSE NAVONA2 alloggio turistico autorizzato,Massimo Giuseppe,I Centro Storico,4190129,1247463,Entire home/apt,561231,GUEST HOUSE NAVONA alloggio turistico autorizzato,Massimo Giuseppe,I Centro Storico,4190131,1247322,Entire home/apt
98,933324,B&B Vaticano/San Pietro Camera doppia/Matrimoniale,Andrea,XIII Aurelia,4189787,1245507,Private room,874822,B&B Vaticano/San Pietro Camera Matrimoniale,Andrea,XIII Aurelia,4190052,1244447,Private room
