id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
38373634,0,292206557,Edgar,Sants-Montjuïc,el Poble Sec,41.3747,2.16808,Private room,120,1,0,,,1,0,el Camp d'en Grassot i Gràcia Nova,158044084,Lidia,Gràcia,41.40343,2.16808,Private room,30,1,0,,,1,0
17135990,0,95976241,Rosi,Ciutat Vella,el Barri Gòtic,41.38428,2.17316,Private room,25,1,0,,,1,179,el Raval,315027604,Pat,Ciutat Vella,41.37662,2.17316,Private room,40,1,0,,,1,0
45970313,0,5614931,Fisa Rentals,Les Corts,les Corts,41.38521,2.14063,Entire home/apt,87,1,0,,,40,0,les Corts,5614931,Fisa Rentals,Les Corts,41.38521,2.14063,Entire home/apt,109,2,0,,,40,365
44147826,1,349766269,Javi,Ciutat Vella,el Barri Gòtic,41.38271,2.17997,Private room,28,2,0,,,2,365,el Raval,357413920,Vianeth,Ciutat Vella,41.38158,2.16735,Private room,20,1,0,,,3,365
46636813,1,265143570,Sleep,Eixample,la Dreta de l'Eixample,41.39593,2.17019,Entire home/apt,33,30,0,,,13,166,la Dreta de l'Eixample,265143570,Sleep,Eixample,41.39481,2.17141,Entire home/apt,33,30,0,,,13,166
45948069,0,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,,2.16089,Shared room,29,1,0,,,15,1,l'Antiga Esquerra de l'Eixample,308683001,Sant Jordi Hostels,Eixample,,2.16089,Shared room,16,1,0,,,15,268
26551614,0,121825,C211,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3941,2.14707,Entire home/apt,81,30,0,,,18,364,Sant Gervasi - Galvany,121825,C211,Sarrià-Sant Gervasi,41.3941,2.14707,Entire home/apt,197,1,0,,,18,167
17808668,0,64515600,Alguera Industria,Sant Martí,el Camp de l'Arpa del Clot,,2.17684,Entire home/apt,800,32,4,2019-10-31,0.16,19,337,el Camp de l'Arpa del Clot,64515600,Alguera Industria,Sant Martí,,2.17684,Entire home/apt,43,32,0,,,19,365
22375401,0,342801269,Destination BCN - Rooms,Eixample,la Dreta de l'Eixample,41.38649,2.16556,Hotel room,80,1,26,2020-03-02,0.84,5,322,la Dreta de l'Eixample,3590196,DestinationBCN - Apartments,Eixample,,2.16556,Hotel room,80,1,29,2020-09-03,0.93,14,0
199422,0,971768,Akira,Eixample,el Fort Pienc,41.39598,2.18251,Entire home/apt,75,1,86,2020-01-05,0.76,14,0,"Sant Pere, Santa Caterina i la Ribera",12661623,James,Ciutat Vella,41.39092,2.18251,Private room,72,1,5,2017-12-27,0.09,1,0
45970949,0,5614931,Fisa Rentals,Les Corts,les Corts,,2.14063,Entire home/apt,108,2,0,,,40,365,les Corts,5614931,Fisa Rentals,Les Corts,,2.14063,Entire home/apt,109,1,0,,,40,1
13811701,0,43565515,Homes In Blue,Eixample,la Dreta de l'Eixample,,2.16012,Entire home/apt,51,32,3,2018-07-24,0.06,28,152,la Dreta de l'Eixample,43565515,Homes In Blue,Eixample,,2.16012,Entire home/apt,106,2,4,2019-10-10,0.21,28,353
41772041,0,30551735,Stephanie,Eixample,el Fort Pienc,41.40102,2.17826,Private room,30,1,0,,,2,89,el Barri Gòtic,32781408,Vlad,Ciutat Vella,41.37783,2.17826,Entire home/apt,60,31,0,,,2,90
20066721,0,132596381,Minerva,Gràcia,la Vila de Gràcia,,2.15592,Entire home/apt,372,1,52,2020-03-13,1.32,3,244,la Vila de Gràcia,132596381,Minerva,Gràcia,,2.15592,Entire home/apt,255,2,9,2020-08-01,0.22,3,141
46004375,0,5614931,Fisa Rentals,Les Corts,les Corts,,2.14063,Entire home/apt,87,1,0,,,40,360,les Corts,5614931,Fisa Rentals,Les Corts,,2.14063,Entire home/apt,87,1,0,,,40,0
25902377,0,194635069,Valentina,Eixample,l'Antiga Esquerra de l'Eixample,,2.15713,Entire home/apt,53,32,1,2019-03-22,0.05,10,77,l'Antiga Esquerra de l'Eixample,194635069,Valentina,Eixample,,2.15713,Entire home/apt,44,32,0,,,10,262
922906,0,4906099,Jordi,Sants-Montjuïc,el Poble Sec,,2.16756,Entire home/apt,116,2,169,2020-02-24,2.12,11,0,el Poble Sec,4906099,Jordi,Sants-Montjuïc,,2.16756,Entire home/apt,91,2,205,2020-03-16,2.21,11,0
32906782,0,116807111,Lorenzo,Eixample,la Dreta de l'Eixample,,2.17527,Private room,67,1,0,,,7,356,la Dreta de l'Eixample,116807111,Lorenzo,Eixample,,2.17527,Private room,52,1,25,2020-08-28,1.22,7,319
16350839,0,107052215,Diego,Eixample,la Dreta de l'Eixample,41.39046,2.1703,Private room,30,2,0,,,2,0,el Raval,31150619,Sil,Ciutat Vella,41.37968,2.1703,Private room,30,2,2,2016-01-03,0.03,1,0
31717578,0,144664632,Natucia,Ciutat Vella,el Raval,41.38209,2.16456,Private room,21,1,73,2020-09-29,3.17,5,0,la Dreta de l'Eixample,2320210,Ale & Arthur,Eixample,41.39361,2.16456,Entire home/apt,142,1,20,2019-08-19,0.25,49,0
31707871,1,10708046,Salvatore,Les Corts,la Maternitat i Sant Ramon,41.37749,2.12341,Private room,16,30,2,2020-05-15,0.11,10,365,la Maternitat i Sant Ramon,10708046,Salvatore,Les Corts,41.37716,2.12346,Private room,16,30,1,2019-06-09,0.05,10,365
23268496,1,173194848,Ana,Nou Barris,Porta,41.43765,2.17462,Private room,25,4,29,2019-10-31,0.9,1,269,la Bordeta,63686955,Anabel,Sants-Montjuïc,41.36687,2.1327,Private room,25,1,0,,,1,0
40369033,0,253465692,Josep,Gràcia,la Vila de Gràcia,,2.15433,Entire home/apt,64,32,0,,,15,365,la Vila de Gràcia,253465692,Josep,Gràcia,,2.15433,Entire home/apt,61,32,1,2020-08-09,0.23,15,333
32482575,0,32037490,SweetInn,Eixample,la Nova Esquerra de l'Eixample,,2.15239,Entire home/apt,94,2,26,2020-10-18,1.19,84,347,la Nova Esquerra de l'Eixample,32037490,SweetInn,Eixample,,2.15239,Entire home/apt,84,2,18,2020-08-13,0.83,84,183
36350982,1,104145323,Tania Karina,Horta-Guinardó,la Font d'en Fargues,41.42532,2.16032,Private room,18,31,0,,,1,364,Sant Antoni,292296775,Alicia,Eixample,41.37685,2.15271,Private room,33,1,23,2020-02-29,1.57,5,90
988755,0,121825,C211,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,,2.14707,Entire home/apt,173,1,30,2018-09-08,0.32,18,345,Sant Gervasi - Galvany,121825,C211,Sarrià-Sant Gervasi,,2.14707,Entire home/apt,81,30,1,2020-06-30,0.17,18,353
29677444,0,223315429,Esther,Eixample,l'Antiga Esquerra de l'Eixample,41.38657,2.15582,Entire home/apt,78,2,49,2020-10-15,1.93,6,1,Sant Antoni,396363,Alcambarcelona,Eixample,41.37909,2.15582,Entire home/apt,149,2,7,2020-07-29,0.09,92,1
37278347,0,280627266,Cua Ceres,Ciutat Vella,el Barri Gòtic,,2.17439,Entire home/apt,108,2,46,2020-12-14,2.82,6,205,el Barri Gòtic,280627266,Cua Ceres,Ciutat Vella,,2.17439,Entire home/apt,108,2,33,2020-12-06,2.04,6,212
21969660,0,6099660,Barcelona Bedroom,Ciutat Vella,la Barceloneta,41.37796,2.19016,Entire home/apt,70,1,28,2019-11-24,0.91,25,247,la Barceloneta,6099660,Barcelona Bedroom,Ciutat Vella,,2.19016,Entire home/apt,70,1,48,2020-07-16,0.81,25,264
23657604,0,174751009,Albert,Eixample,la Sagrada Família,,2.17132,Entire home/apt,82,1,41,2020-08-09,1.26,18,231,la Sagrada Família,54820821,Albert,Eixample,,2.17132,Entire home/apt,56,1,89,2020-01-24,2.11,20,183
10208538,0,26573584,Francisco,Sant Martí,el Poblenou,41.39923,2.2017,Private room,70,1,132,2019-11-03,2.21,1,0,la Verneda i la Pau,15738246,G. Carolina,Sant Martí,41.4219,2.2017,Private room,56,1,3,2017-10-07,0.07,3,0
